Unidade,Setor,Area
Narandiba,1582,401
Narandiba,1583,454
Narandiba,1584,98
Narandiba,1585,26
Narandiba,1587,32
Paraguaçu,1588,201
Paraguaçu,1592,65
Paraguaçu,1595,31
Paraguaçu,1598,396
Paraguaçu,1600,29
Paraguaçu,1601,317
Paraguaçu,1602,13
Paraguaçu,1603,36
Paraguaçu,1604,2
Paraguaçu,1608,347
Paraguaçu,1609,402
Paraguaçu,1610,312
Paraguaçu,1611,276
Paraguaçu,1612,249
Paraguaçu,1613,430
Paraguaçu,1615,362
Paraguaçu,1620,44
Paraguaçu,1625,243
Paraguaçu,1626,130
Paraguaçu,1627,15
Paraguaçu,1630,130
Paraguaçu,1631,365
Paraguaçu,1635,45
Paraguaçu,1642,228
Paraguaçu,1644,5
Paraguaçu,1645,217
Paraguaçu,1648,54
Paraguaçu,1650,36
Paraguaçu,1652,37
Paraguaçu,1653,61
Paraguaçu,1654,1369
Paraguaçu,1655,64
Paraguaçu,1656,45
Paraguaçu,1657,251
Paraguaçu,1659,112
Paraguaçu,1660,48
Paraguaçu,1661,8
Paraguaçu,1662,40
Paraguaçu,1664,39
Paraguaçu,1666,60
Paraguaçu,1668,27
Paraguaçu,1670,84
Paraguaçu,1671,87
Paraguaçu,1672,64
Paraguaçu,1673,212
Paraguaçu,1674,233
Paraguaçu,1770,1129
Narandiba,3000,206
Narandiba,3001,104
Narandiba,3002,190
Narandiba,3003,241
Narandiba,3004,306
Narandiba,3005,281
Narandiba,3006,204
Narandiba,3008,348
Narandiba,3009,402
Narandiba,3010,221
Narandiba,3011,264
Narandiba,3012,209
Narandiba,3013,402
Narandiba,3014,251
Narandiba,3015,216
Narandiba,3016,169
Narandiba,3017,442
Narandiba,3018,206
Narandiba,3019,210
Narandiba,3020,104
Narandiba,3021,66
Narandiba,3022,301
Narandiba,3023,237
Narandiba,3024,296
Narandiba,3025,318
Narandiba,3026,160
Narandiba,3027,399
Narandiba,3028,184
Narandiba,3029,309
Narandiba,3030,90
Narandiba,3031,167
Narandiba,3035,523
Narandiba,3036,346
Narandiba,3037,140
Narandiba,3038,340
Narandiba,3039,285
Narandiba,3040,15
Narandiba,3041,15
Narandiba,3042,16
Narandiba,3043,16
Narandiba,3044,15
Narandiba,3045,5
Narandiba,3046,14
Narandiba,3047,8
Narandiba,3048,14
Narandiba,3049,8
Narandiba,3050,5
Narandiba,3055,13
Narandiba,3060,14
Narandiba,3101,96
Narandiba,3102,164
Narandiba,3103,369
Narandiba,3104,184
Narandiba,3105,182
Narandiba,3106,151
Narandiba,3107,168
Narandiba,3108,205
Narandiba,3109,174
Narandiba,3110,127
Narandiba,3111,128
Narandiba,3112,161
Narandiba,3113,226
Narandiba,3114,190
Narandiba,3115,89
Narandiba,3116,188
Narandiba,3117,229
Narandiba,3119,524
Narandiba,3120,226
Narandiba,3121,433
Narandiba,3122,350
Narandiba,3123,210
Narandiba,3125,499
Narandiba,3200,658
Narandiba,3205,414
Narandiba,3206,62
Narandiba,3208,194
Narandiba,3211,282
Narandiba,3215,130
Narandiba,3216,416
Narandiba,3221,2
Narandiba,3222,318
Narandiba,3226,138
Narandiba,3228,416
Narandiba,3229,25
Narandiba,3235,32
Narandiba,3237,72
Narandiba,3238,170
Narandiba,3239,308
Narandiba,3240,102
Narandiba,3241,310
Narandiba,3242,48
Narandiba,3243,122
Narandiba,3244,164
Narandiba,3246,152
Narandiba,3247,278
Narandiba,3248,408
Narandiba,3250,1
Narandiba,3255,236
Narandiba,3256,81
Narandiba,3257,30
Narandiba,3258,21
Narandiba,3259,16
Narandiba,3260,201
Narandiba,3265,565
Narandiba,3270,472
Narandiba,3271,40
Narandiba,3273,238
Narandiba,3276,207
Narandiba,3277,225
Narandiba,3278,215
Narandiba,3279,172
Narandiba,3280,80
Narandiba,3281,242
Narandiba,3282,254
Narandiba,3283,204
Narandiba,3284,798
Narandiba,3286,68
Narandiba,3290,295
Narandiba,3292,155
Narandiba,3293,392
Narandiba,3294,301
Narandiba,3296,308
Narandiba,3297,220
Narandiba,3298,249
Narandiba,3299,86
Narandiba,3303,17
Narandiba,3306,201
Narandiba,3308,240
Narandiba,3309,59
Narandiba,3310,171
Narandiba,3311,98
Narandiba,3312,73
Narandiba,3313,335
Narandiba,3317,246
Narandiba,3320,132
Narandiba,3321,141
Narandiba,3322,166
Narandiba,3323,123
Narandiba,3325,307
Narandiba,3330,225
Narandiba,3333,186
Narandiba,3334,345
Narandiba,3335,166
Narandiba,3336,428
Narandiba,3340,382
Narandiba,3343,194
Narandiba,3346,25
Narandiba,3349,294
Narandiba,3350,50
Narandiba,3351,203
Narandiba,3354,273
Narandiba,3357,285
Narandiba,3374,45
Narandiba,3376,50
Narandiba,3378,41
Narandiba,3379,120
Narandiba,3380,137
Narandiba,3381,64
Narandiba,3382,100
Narandiba,3383,70
Narandiba,3385,198
Narandiba,3386,271
Narandiba,3388,219
Narandiba,3392,191
Narandiba,3394,219
Narandiba,3397,56
Narandiba,3398,208
Narandiba,3399,21
Narandiba,3400,101
Narandiba,3403,175
Narandiba,3407,348
Narandiba,3408,62
Narandiba,3409,35
Narandiba,3410,252
Narandiba,3411,474
Narandiba,3412,305
Narandiba,3413,333
Narandiba,3414,522
Narandiba,3415,489
Narandiba,3417,290
Narandiba,3418,41
Narandiba,3419,272
Narandiba,3420,274
Narandiba,3421,594
Narandiba,3422,509
Narandiba,3423,579
Narandiba,3424,494
Narandiba,3425,208
Narandiba,3427,250
Narandiba,3428,595
Narandiba,3429,89
Narandiba,3430,234
Narandiba,3431,264
Narandiba,3432,217
Narandiba,3433,189
Narandiba,3436,300
Narandiba,3437,100
Narandiba,3440,407
Narandiba,3444,190
Narandiba,3450,162
Narandiba,3453,82
Narandiba,3456,37
Narandiba,3458,374
Narandiba,3461,72
Narandiba,3462,137
Narandiba,3463,41
Narandiba,3465,201
Narandiba,3466,14
Narandiba,3468,792
Narandiba,3469,146
Narandiba,3470,39
Narandiba,3471,45
Narandiba,3472,4
Narandiba,3473,36
Narandiba,3474,86
Narandiba,3475,272
Narandiba,3476,41
Narandiba,3477,78
Narandiba,3480,238
Paraguaçu,3490,53
Paraguaçu,3491,35
Paraguaçu,3492,17
Paraguaçu,3493,17
Narandiba,3494,544
Narandiba,3495,28
Narandiba,3497,54
Narandiba,3498,114
Narandiba,3515,98
Narandiba,3516,195
Narandiba,3518,176
Narandiba,3519,220
Narandiba,3520,32
Narandiba,3522,36
Narandiba,3524,425
Narandiba,3525,176
Narandiba,3526,358
Narandiba,3527,82
Narandiba,3529,111
Narandiba,3530,143
Narandiba,3531,297
Narandiba,3534,460
Narandiba,3535,489
Narandiba,3536,260
Narandiba,3537,144
Narandiba,3555,105
Narandiba,3556,69
Narandiba,3561,149
Narandiba,3564,53
Narandiba,3566,362
Narandiba,3570,217
Narandiba,3571,29
Narandiba,3572,23
Narandiba,3574,128
Narandiba,3575,16
Narandiba,3576,13
Paraguaçu,3577,6
Narandiba,3579,328
Narandiba,3580,487
Narandiba,3581,314
Narandiba,3582,160
Narandiba,3583,211
Narandiba,3584,314
Narandiba,3585,356
Narandiba,3587,155
Narandiba,3588,346
Narandiba,3589,490
Narandiba,3591,744
Narandiba,3592,565
Narandiba,3593,378
Narandiba,3594,275
Narandiba,3596,397
Narandiba,3597,282
Narandiba,3598,259
Narandiba,3599,185
Narandiba,3600,38
Narandiba,3601,164
Narandiba,3603,204
Narandiba,3604,77
Narandiba,3605,95
Narandiba,3607,182
Narandiba,3609,25
Narandiba,3611,357
Narandiba,3612,183
Narandiba,3614,333
Narandiba,3615,434
Narandiba,3616,408
Narandiba,3617,29
Narandiba,3619,162
Narandiba,3620,56
Narandiba,3621,86
Narandiba,3622,72
Narandiba,3623,553
Narandiba,3624,557
Narandiba,3625,29
Narandiba,3626,220
Narandiba,3627,184
Narandiba,3629,228
Narandiba,3631,121
Narandiba,3635,414
Narandiba,3637,140
Narandiba,3638,190
Narandiba,3639,312
Narandiba,3641,94
Narandiba,3642,48
Narandiba,3643,442
Narandiba,3644,14
